,Accuracy,Precision,Recall,F1,ROC-AUC
XGBoost,0.8644123984750539,0.7688679245283019,0.6511318242343542,0.7051189617880317,0.9236667008543895
Gradient Boosting,0.859771258080557,0.7837370242214533,0.6031957390146472,0.6817155756207675,0.9162781854018816
Logistic Regression,0.8475053870379579,0.7354368932038835,0.6051930758988016,0.6639883126369612,0.9021980844491608
Random Forest,0.8488314271506713,0.7286821705426356,0.625832223701731,0.673352435530086,0.9007333266525234
SVM,0.8498259572352064,0.75,0.5952063914780293,0.6636971046770601,0.8982541045103991
